"card_transactions_stability_id","stg_business_entity_id","end_date","date_accessible","card_transactions_stability__1m__start_date","card_transactions_stability__1m__days_present","card_transactions_stability__1m__weeks_present","card_transactions_stability__1m__months_present","card_transactions_stability__1m__daily_coverage_ratio","card_transactions_stability__1m__weekly_coverage_ratio","card_transactions_stability__1m__monthly_coverage_ratio","card_transactions_stability__3m__start_date","card_transactions_stability__3m__days_present","card_transactions_stability__3m__weeks_present","card_transactions_stability__3m__months_present","card_transactions_stability__3m__daily_coverage_ratio","card_transactions_stability__3m__weekly_coverage_ratio","card_transactions_stability__3m__monthly_coverage_ratio","card_transactions_stability__12m__start_date","card_transactions_stability__12m__days_present","card_transactions_stability__12m__weeks_present","card_transactions_stability__12m__months_present","card_transactions_stability__12m__daily_coverage_ratio","card_transactions_stability__12m__weekly_coverage_ratio","card_transactions_stability__12m__monthly_coverage_ratio","created_by","created_date"
"01a6efb1-a8c4-52e2-fe6e-048b3449d0e8","08a27d25-2cd7-3709-2ebd-31fd5ccdce5f","2020-08-31 00:00:00",NULL,"2020-08-01","25","4","1",1,1,1,"2020-06-01","61","10","3",1,1,1,"2019-09-01","110","27","11",0,1,1,"PFD","2025-05-05 09:25:40.911"
"01a6efb1-a8c4-52e2-fe6e-048b3449d0e8","08a27d25-2cd7-3709-2ebd-31fd5ccdce5f","2020-08-31 00:00:00",NULL,"2020-08-01","25","4","1",1,1,1,"2020-06-01","61","10","3",1,1,1,"2019-09-01","110","27","11",0,1,1,"PFD","2025-05-05 09:25:40.911"
"01a6efb1-a8c4-52e2-fe6e-048b3449d0e8","08a27d25-2cd7-3709-2ebd-31fd5ccdce5f","2020-08-31 00:00:00",NULL,"2020-08-01","25","4","1",1,1,1,"2020-06-01","61","10","3",1,1,1,"2019-09-01","110","27","11",0,1,1,"PFD","2025-05-05 09:25:40.911"
"01a6efb1-a8c4-52e2-fe6e-048b3449d0e8","08a27d25-2cd7-3709-2ebd-31fd5ccdce5f","2020-08-31 00:00:00",NULL,"2020-08-01","25","4","1",1,1,1,"2020-06-01","61","10","3",1,1,1,"2019-09-01","110","27","11",0,1,1,"PFD","2025-05-05 09:25:40.911"
"01a6efb1-a8c4-52e2-fe6e-048b3449d0e8","08a27d25-2cd7-3709-2ebd-31fd5ccdce5f","2020-08-31 00:00:00",NULL,"2020-08-01","25","4","1",1,1,1,"2020-06-01","61","10","3",1,1,1,"2019-09-01","110","27","11",0,1,1,"PFD","2025-05-05 09:25:40.911"
"01a6efb1-a8c4-52e2-fe6e-048b3449d0e8","08a27d25-2cd7-3709-2ebd-31fd5ccdce5f","2020-08-31 00:00:00",NULL,"2020-08-01","25","4","1",1,1,1,"2020-06-01","61","10","3",1,1,1,"2019-09-01","110","27","11",0,1,1,"PFD","2025-05-05 09:25:40.911"
"01a6efb1-a8c4-52e2-fe6e-048b3449d0e8","08a27d25-2cd7-3709-2ebd-31fd5ccdce5f","2020-08-31 00:00:00",NULL,"2020-08-01","25","4","1",1,1,1,"2020-06-01","61","10","3",1,1,1,"2019-09-01","110","27","11",0,1,1,"PFD","2025-05-05 09:25:40.911"
"01a6efb1-a8c4-52e2-fe6e-048b3449d0e8","08a27d25-2cd7-3709-2ebd-31fd5ccdce5f","2020-08-31 00:00:00",NULL,"2020-08-01","25","4","1",1,1,1,"2020-06-01","61","10","3",1,1,1,"2019-09-01","110","27","11",0,1,1,"PFD","2025-05-05 09:25:40.911"
"01a6efb1-a8c4-52e2-fe6e-048b3449d0e8","08a27d25-2cd7-3709-2ebd-31fd5ccdce5f","2020-08-31 00:00:00",NULL,"2020-08-01","25","4","1",1,1,1,"2020-06-01","61","10","3",1,1,1,"2019-09-01","110","27","11",0,1,1,"PFD","2025-05-05 09:25:40.911"
"01a6efb1-a8c4-52e2-fe6e-048b3449d0e8","08a27d25-2cd7-3709-2ebd-31fd5ccdce5f","2020-08-31 00:00:00",NULL,"2020-08-01","25","4","1",1,1,1,"2020-06-01","61","10","3",1,1,1,"2019-09-01","110","27","11",0,1,1,"PFD","2025-05-05 09:25:40.911"
"01a6efb1-a8c4-52e2-fe6e-048b3449d0e8","08a27d25-2cd7-3709-2ebd-31fd5ccdce5f","2020-08-31 00:00:00",NULL,"2020-08-01","25","4","1",1,1,1,"2020-06-01","61","10","3",1,1,1,"2019-09-01","110","27","11",0,1,1,"PFD","2025-05-05 09:25:40.911"
"01a6efb1-a8c4-52e2-fe6e-048b3449d0e8","08a27d25-2cd7-3709-2ebd-31fd5ccdce5f","2020-08-31 00:00:00",NULL,"2020-08-01","25","4","1",1,1,1,"2020-06-01","61","10","3",1,1,1,"2019-09-01","110","27","11",0,1,1,"PFD","2025-05-05 09:25:40.911"
"01a6efb1-a8c4-52e2-fe6e-048b3449d0e8","08a27d25-2cd7-3709-2ebd-31fd5ccdce5f","2020-08-31 00:00:00",NULL,"2020-08-01","25","4","1",1,1,1,"2020-06-01","61","10","3",1,1,1,"2019-09-01","110","27","11",0,1,1,"PFD","2025-05-05 09:25:40.911"
"01a6efb1-a8c4-52e2-fe6e-048b3449d0e8","08a27d25-2cd7-3709-2ebd-31fd5ccdce5f","2020-08-31 00:00:00",NULL,"2020-08-01","25","4","1",1,1,1,"2020-06-01","61","10","3",1,1,1,"2019-09-01","110","27","11",0,1,1,"PFD","2025-05-05 09:25:40.911"
